,Name,Position,Age,Nationalities,Club,Market_value_(m€)
349,Galeno,Left Winger,27,"Brazil, Portugal",FC Porto,27.0
350,Frank Anguissa,Central Midfield,29,Cameroon,SSC Napoli,27.0
351,Olivier Boscagli,Centre-Back,27,"France, Monaco",PSV Eindhoven,27.0
352,Oscar Gloukh,Attacking Midfield,20,Israel,Red Bull Salzburg,25.0
353,Arthur Vermeeren,Defensive Midfield,19,Belgium,RB Leipzig,25.0
354,Archie Gray,Right-Back,18,"England, Scotland",Tottenham Hotspur,25.0
355,Karim Konaté,Centre-Forward,20,Cote d'Ivoire,Red Bull Salzburg,25.0
356,André,Defensive Midfield,23,Brazil,Wolverhampton Wanderers,25.0
357,Igor Thiago,Centre-Forward,23,"Brazil, Bulgaria",Brentford FC,25.0
358,Tyrick Mitchell,Left-Back,25,"England, Jamaica",Crystal Palace,25.0
359,Lesley Ugochukwu,Defensive Midfield,20,"France, Nigeria",Southampton FC,25.0
360,Brajan Gruda,Right Winger,20,"Germany, Albania",Brighton & Hove Albion,25.0
361,Gabri Veiga,Central Midfield,22,Spain,Al-Ahli SFC,25.0
362,Matías Soulé,Right Winger,21,"Argentina, Italy",AS Roma,25.0
363,Marcos Leonardo,Centre-Forward,21,Brazil,Al-Hilal SFC,25.0
364,Oscar Bobb,Right Winger,21,"Norway, The Gambia",Manchester City,25.0
365,Wilfried Singo,Centre-Back,23,Cote d'Ivoire,AS Monaco,25.0
366,Yan Couto,Right-Back,22,"Brazil, Portugal",Borussia Dortmund,25.0
367,Aaron Hickey,Right-Back,22,Scotland,Brentford FC,25.0
368,Anthony Elanga,Right Winger,22,"Sweden, Cameroon",Nottingham Forest,25.0
369,Radu Drăgușin,Centre-Back,22,Romania,Tottenham Hotspur,25.0
370,Kang-in Lee,Attacking Midfield,23,"Korea, South",Paris Saint-Germain,25.0
371,Anatoliy Trubin,Goalkeeper,23,Ukraine,SL Benfica,25.0
372,Miguel Gutiérrez,Left-Back,23,Spain,Girona FC,25.0
373,Federico Gatti,Centre-Back,26,Italy,Juventus FC,25.0
374,Folarin Balogun,Centre-Forward,23,"United States, England",AS Monaco,25.0
375,Edon Zhegrova,Right Winger,25,"Kosovo, Germany",LOSC Lille,25.0
376,Wesley Fofana,Centre-Back,23,"France, Cote d'Ivoire",Chelsea FC,25.0
377,Facundo Medina,Centre-Back,25,Argentina,RC Lens,25.0
378,Nathan Collins,Centre-Back,23,Ireland,Brentford FC,25.0
379,Malik Tillman,Attacking Midfield,22,"United States, Germany",PSV Eindhoven,25.0
380,Mattéo Guendouzi,Central Midfield,25,"France, Morocco",SS Lazio,25.0
381,Lucas Chevalier,Goalkeeper,23,France,LOSC Lille,25.0
382,Rodrigo Riquelme,Left Winger,24,Spain,Atlético de Madrid,25.0
383,Yann Bisseck,Centre-Back,24,"Germany, Cameroon",Inter Milan,25.0
384,Jørgen Strand Larsen,Centre-Forward,24,Norway,Wolverhampton Wanderers,25.0
385,Amine Gouiri,Centre-Forward,24,"Algeria, France",Stade Rennais FC,25.0
386,Andriy Lunin,Goalkeeper,25,Ukraine,Real Madrid,25.0
387,Yangel Herrera,Central Midfield,26,"Venezuela, Spain",Girona FC,25.0
388,Evan Ndicka,Centre-Back,25,"Cote d'Ivoire, France",AS Roma,25.0
389,Antonee Robinson,Left-Back,27,"United States, England",Fulham FC,25.0
390,Sean Longstaff,Central Midfield,27,England,Newcastle United,25.0
391,Tammy Abraham,Centre-Forward,27,"England, Nigeria",AC Milan,25.0
392,Vangelis Pavlidis,Centre-Forward,26,Greece,SL Benfica,25.0
393,David Raum,Left-Back,26,Germany,RB Leipzig,25.0
394,Hee-chan Hwang,Centre-Forward,28,"Korea, South",Wolverhampton Wanderers,25.0
395,Kevin Danso,Centre-Back,26,Austria,RC Lens,25.0
396,Gianluca Mancini,Centre-Back,28,Italy,AS Roma,25.0
397,Iñaki Williams,Right Winger,30,"Ghana, Spain",Athletic Bilbao,25.0
398,Alex Iwobi,Left Winger,28,"Nigeria, England",Fulham FC,25.0
399,Alexander Sørloth,Centre-Forward,29,Norway,Atlético de Madrid,25.0
400,Otávio,Attacking Midfield,29,"Portugal, Brazil",Al-Nassr FC,25.0
401,Fabinho,Defensive Midfield,31,Brazil,Al-Ittihad Club,25.0
402,Álex Remiro,Goalkeeper,29,Spain,Real Sociedad,25.0
403,Ruben Loftus-Cheek,Central Midfield,28,"England, Guyana",AC Milan,25.0
404,João Cancelo,Right-Back,30,Portugal,Al-Hilal SFC,25.0
405,Kurt Zouma,Centre-Back,30,"France, Central African Republic",Al-Orobah FC,25.0
406,Antoine Griezmann,Centre-Forward,33,France,Atlético de Madrid,25.0
407,Thibaut Courtois,Goalkeeper,32,Belgium,Real Madrid,25.0
408,Antonio Rüdiger,Centre-Back,31,"Germany, Sierra Leone",Real Madrid,25.0
409,Lionel Messi,Right Winger,37,"Argentina, Spain",Inter Miami CF,25.0
410,Luis Guilherme,Right Winger,18,Brazil,West Ham United,24.0
411,Lewis Ferguson,Attacking Midfield,25,Scotland,Bologna FC 1909,24.0
412,Weston McKennie,Central Midfield,26,United States,Juventus FC,24.0
413,Waldemar Anton,Centre-Back,28,Germany,Borussia Dortmund,24.0
414,Quilindschy Hartman,Left-Back,23,"Netherlands, Curacao",Feyenoord Rotterdam,23.0
415,Daniel Muñoz,Right-Back,28,Colombia,Crystal Palace,23.0
416,Pedro,Centre-Forward,27,Brazil,CR Flamengo,23.0
417,Trincão,Right Winger,24,Portugal,Sporting CP,23.0
418,Nathan Tella,Right Midfield,25,"Nigeria, England",Bayer 04 Leverkusen,23.0
419,Carlos Baleba,Defensive Midfield,20,Cameroon,Brighton & Hove Albion,22.0
420,Lewis Miley,Central Midfield,18,England,Newcastle United,22.0
421,Antonio Nusa,Left Winger,19,"Norway, Nigeria",RB Leipzig,22.0
422,Michael Kayode,Right-Back,20,"Italy, Nigeria",ACF Fiorentina,22.0
423,Lewis Hall,Left-Back,20,England,Newcastle United,22.0
424,Julio Enciso,Attacking Midfield,20,Paraguay,Brighton & Hove Albion,22.0
425,Jarell Quansah,Centre-Back,21,"England, Scotland",Liverpool FC,22.0
426,Aitor Paredes,Centre-Back,24,Spain,Athletic Bilbao,22.0
427,Carlos Augusto,Left-Back,25,"Brazil, Italy",Inter Milan,22.0
428,Dwight McNeil,Left Winger,25,"England, Jamaica",Everton FC,22.0
429,Jan Paul van Hecke,Centre-Back,24,Netherlands,Brighton & Hove Albion,22.0
430,Elliot Anderson,Central Midfield,22,"England, Scotland",Nottingham Forest,22.0
431,Bart Verbruggen,Goalkeeper,22,Netherlands,Brighton & Hove Albion,22.0
432,Zeno Debast,Centre-Back,21,Belgium,Sporting CP,22.0
433,Fábio Vieira,Attacking Midfield,24,Portugal,FC Porto,22.0
434,Amad Diallo,Right Winger,22,"Cote d'Ivoire, Italy",Manchester United,22.0
435,Jesper Lindstrøm,Right Winger,24,Denmark,Everton FC,22.0
436,James Garner,Defensive Midfield,23,England,Everton FC,22.0
437,Yunus Musah,Central Midfield,22,"United States, England",AC Milan,22.0
438,Taylor Harwood-Bellis,Centre-Back,22,England,Southampton FC,22.0
439,Morgan Rogers,Attacking Midfield,22,England,Aston Villa,22.0
440,Francisco Conceição,Right Winger,21,Portugal,Juventus FC,22.0
441,Crysencio Summerville,Left Winger,23,"Netherlands, Suriname",West Ham United,22.0
442,Kevin Schade,Left Winger,23,"Germany, Nigeria",Brentford FC,22.0
443,Marcos Senesi,Centre-Back,27,"Argentina, Italy",AFC Bournemouth,22.0
444,Youssef En-Nesyri,Centre-Forward,27,Morocco,Fenerbahce,22.0
445,Aaron Ramsdale,Goalkeeper,26,England,Southampton FC,22.0
446,Callum Hudson-Odoi,Left Winger,24,"England, Ghana",Nottingham Forest,22.0
447,Dan Ndoye,Right Winger,24,"Switzerland, Senegal",Bologna FC 1909,22.0
448,Sergiño Dest,Right-Back,24,"United States, Netherlands",PSV Eindhoven,22.0
449,Igor Zubeldia,Centre-Back,27,Spain,Real Sociedad,22.0
450,Kalvin Phillips,Defensive Midfield,29,"England, Jamaica",Ipswich Town,22.0
451,Konstantinos Tsimikas,Left-Back,28,Greece,Liverpool FC,22.0
452,Pepelu,Defensive Midfield,26,Spain,Valencia CF,22.0
453,Ben Chilwell,Left-Back,27,"England, New Zealand",Chelsea FC,22.0
454,Dominic Calvert-Lewin,Centre-Forward,27,England,Everton FC,22.0
455,Ferland Mendy,Left-Back,29,"France, Senegal",Real Madrid,22.0
456,Sofyan Amrabat,Defensive Midfield,28,"Morocco, Netherlands",Fenerbahce,22.0
457,Lorenzo Pellegrini,Attacking Midfield,28,Italy,AS Roma,22.0
458,Chris Führich,Left Winger,26,Germany,VfB Stuttgart,22.0
459,Vitaly Janelt,Defensive Midfield,26,Germany,Brentford FC,22.0
460,José María Giménez,Centre-Back,29,"Uruguay, Spain",Atlético de Madrid,22.0
461,Patrik Schick,Centre-Forward,28,Czech Republic,Bayer 04 Leverkusen,22.0
462,James Ward-Prowse,Central Midfield,30,England,Nottingham Forest,22.0
463,Piotr Zieliński,Central Midfield,30,"Poland, Italy",Inter Milan,22.0
464,Leon Goretzka,Central Midfield,29,Germany,Bayern Munich,22.0
465,Jordan Pickford,Goalkeeper,30,England,Everton FC,22.0
466,Barış Alper Yılmaz,Right Winger,24,Türkiye,Galatasaray,21.0
467,Jeanuël Belocian,Centre-Back,19,"France, Guadeloupe",Bayer 04 Leverkusen,20.0
468,Habib Diarra,Attacking Midfield,20,"Senegal, France",RC Strasbourg Alsace,20.0
469,Jack Hinshelwood,Central Midfield,19,England,Brighton & Hove Albion,20.0
470,Alex Scott,Central Midfield,21,"England, Guernsey",AFC Bournemouth,20.0
471,Javi Guerra,Central Midfield,21,Spain,Valencia CF,20.0
472,Dango Ouattara,Left Winger,22,Burkina Faso,AFC Bournemouth,20.0
473,Vanderson,Right-Back,23,Brazil,AS Monaco,20.0
474,Rodrigo Muniz,Centre-Forward,23,Brazil,Fulham FC,20.0
475,Alberto Moleiro,Attacking Midfield,21,"Spain, Cuba",UD Las Palmas,20.0
476,Milos Kerkez,Left-Back,21,"Hungary, Serbia",AFC Bournemouth,20.0
477,Loïc Badé,Centre-Back,24,"France, Cote d'Ivoire",Sevilla FC,20.0
478,Georges Mikautadze,Centre-Forward,24,"Georgia, France",Olympique Lyon,20.0
479,Jacob Greaves,Centre-Back,24,England,Ipswich Town,20.0
480,Johnny Cardoso,Defensive Midfield,23,"United States, Italy",Real Betis Balompié,20.0
481,Orri Óskarsson,Centre-Forward,20,Iceland,Real Sociedad,20.0
482,El Bilal Touré,Centre-Forward,23,"Mali, Cote d'Ivoire",VfB Stuttgart,20.0
483,Beñat Turrientes,Central Midfield,22,Spain,Real Sociedad,20.0
484,Enzo Le Fée,Central Midfield,24,France,AS Roma,20.0
485,Manu Koné,Central Midfield,23,"France, Cote d'Ivoire",AS Roma,20.0
486,Matteo Ruggeri,Left Midfield,22,Italy,Atalanta BC,20.0
487,Ander Barrenetxea,Left Winger,22,Spain,Real Sociedad,20.0
488,Rayan Cherki,Attacking Midfield,21,"France, Algeria",Olympique Lyon,20.0
489,Toti,Centre-Back,25,"Portugal, Guinea-Bissau",Wolverhampton Wanderers,20.0
490,Antony,Right Winger,24,Brazil,Manchester United,20.0
491,Beto,Centre-Forward,26,"Guinea-Bissau, Portugal",Everton FC,20.0
492,Arnaud Kalimuendo,Centre-Forward,22,"France, DR Congo",Stade Rennais FC,20.0
493,Pierre Kalulu,Centre-Back,24,"France, DR Congo",Juventus FC,20.0
494,Filip Jørgensen,Goalkeeper,22,"Denmark, Sweden",Chelsea FC,20.0
495,Antoine Semenyo,Right Winger,24,"Ghana, England",AFC Bournemouth,20.0
496,Martin Baturina,Attacking Midfield,21,Croatia,GNK Dinamo Zagreb,20.0
497,Leonardo Balerdi,Centre-Back,25,"Argentina, Italy",Olympique Marseille,20.0
498,Strahinja Pavlović,Centre-Back,23,Serbia,AC Milan,20.0
499,Gabriel Sara,Central Midfield,25,Brazil,Galatasaray,20.0
